"selection3_name","selection3_selection2_name","selection3_selection2_year","selection3_selection2_year_url"
"Once Upon a Time in China: The Complete Films","Once Upon a Time in China","1991","https://www.criterion.com/films/30712-once-upon-a-time-in-china"
"Once Upon a Time in China: The Complete Films","Once Upon a Time in China II","1991","https://www.criterion.com/films/30712-once-upon-a-time-in-china"
"Once Upon a Time in China: The Complete Films","Once Upon a Time in China III","1991","https://www.criterion.com/films/30712-once-upon-a-time-in-china"
"Once Upon a Time in China: The Complete Films","Once Upon a Time in China IV","1991","https://www.criterion.com/films/30712-once-upon-a-time-in-china"
"Once Upon a Time in China: The Complete Films","Once Upon a Time in China V","1991","https://www.criterion.com/films/30712-once-upon-a-time-in-china"
"Melvin Van Peebles: Essential Films","The Story of a Three Day Pass","1967","https://www.criterion.com/films/31848-the-story-of-a-three-day-pass"
"Melvin Van Peebles: Essential Films","Watermelon Man","1967","https://www.criterion.com/films/31848-the-story-of-a-three-day-pass"
"Melvin Van Peebles: Essential Films","Sweet Sweetback’s Baadasssss Song","1967","https://www.criterion.com/films/31848-the-story-of-a-three-day-pass"
"Melvin Van Peebles: Essential Films","Don’t Play Us Cheap","1967","https://www.criterion.com/films/31848-the-story-of-a-three-day-pass"
"World of Wong Kar Wai","As Tears Go By","1988","https://www.criterion.com/films/29478-as-tears-go-by"
"World of Wong Kar Wai","Days of Being Wild","1988","https://www.criterion.com/films/29478-as-tears-go-by"
"World of Wong Kar Wai","Chungking Express","1988","https://www.criterion.com/films/29478-as-tears-go-by"
"World of Wong Kar Wai","Fallen Angels","1988","https://www.criterion.com/films/29478-as-tears-go-by"
"World of Wong Kar Wai","Happy Together","1988","https://www.criterion.com/films/29478-as-tears-go-by"
"World of Wong Kar Wai","In the Mood for Love","1988","https://www.criterion.com/films/29478-as-tears-go-by"
"World of Wong Kar Wai","2046","1988","https://www.criterion.com/films/29478-as-tears-go-by"
"Three Films by Luis Buñuel","The Discreet Charm of the Bourgeoisie","1972","https://www.criterion.com/films/310-the-discreet-charm-of-the-bourgeoisie"
"Three Films by Luis Buñuel","The Phantom of Liberty","1972","https://www.criterion.com/films/310-the-discreet-charm-of-the-bourgeoisie"
"Three Films by Luis Buñuel","That Obscure Object of Desire","1972","https://www.criterion.com/films/310-the-discreet-charm-of-the-bourgeoisie"
"Essential Fellini","Variety Lights","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","The White Sheik","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","I vitelloni","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","La strada","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","Il bidone","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","Nights of Cabiria","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","La dolce vita","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","8½","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","Juliet of the Spirits","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","Fellini Satyricon","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","Roma","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","Amarcord","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","And the Ship Sails On","1950","https://www.criterion.com/films/620-variety-lights"
"Essential Fellini","Intervista","1950","https://www.criterion.com/films/620-variety-lights"
"Godzilla: The Showa-Era Films, 1954–1975","Godzilla","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Godzilla Raids Again","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","King Kong vs. Godzilla","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Mothra vs. Godzilla","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Ghidorah, the Three-Headed Monster","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Invasion of Astro-Monster","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Ebirah, Horror of the Deep","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Son of Godzilla","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Destroy All Monsters","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","All Monsters Attack","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Godzilla vs. Hedorah","1954","https://www.criterion.com/films/27755-godzilla"
"Godzilla: The Showa-Era Films, 1954–1975","Godzilla vs. Gigan","1954","https://www.criterion.com/films/27755-godzilla"
