"spine","year","country","title","director"
"1","				1937			","
					France
		
			","		Grand Illusion	","				Jean Renoir			"
"2","				1954			","
					Japan
		
			","		Seven Samurai	","				Akira Kurosawa			"
"3","				1938			","
					United Kingdom
		
			","		The Lady Vanishes	","				Alfred Hitchcock			"
"4","				1973			","
					Italy
		
			","		Amarcord	","				Federico Fellini			"
"5","				1959			","
					France
		
			","		The 400 Blows	","				François Truffaut			"
"6","				1946			","
					France
		
			","		Beauty and the Beast	","				Jean Cocteau			"
"7","				1958			","
					United Kingdom
		
			","		A Night to Remember	","				Roy Ward Baker			"
"8","				1989			","
					Hong Kong
		
			","		The Killer	","				John Woo			"
"9","				1992			","
					Hong Kong
		
			","		Hard Boiled	","				John Woo			"
"10","				1971			","
					United Kingdom
		
			","		Walkabout	","				Nicolas Roeg			"
"11","				1957			","
					Sweden
		
			","		The Seventh Seal	","				Ingmar Bergman			"
"12","				1984			","
					United States
		
			","		This Is Spinal Tap	","				Rob Reiner			"
"13","				1991			","
					United States
		
			","		The Silence of the Lambs	","				Jonathan Demme			"
"14","				1954			","
					Japan
		
			","		Samurai I: Musashi Miyamoto	","				Hiroshi Inagaki			"
"15","				1955			","
					Japan
		
			","		Samurai II: Duel at Ichijoji Temple	","				Hiroshi Inagaki			"
"16","				1956			","
					Japan
		
			","		Samurai III: Duel at Ganryu Island	","				Hiroshi Inagaki			"
"17","				1976			","
					Italy
		
			","		Salò, or The 120 Days of Sodom	","				Pier Paolo Pasolini			"
"18","				1964			","
					United States
		
			","		The Naked Kiss	","				Samuel Fuller			"
"19","				1963			","
					United States
		
			","		Shock Corridor	","				Samuel Fuller			"
"20","				1986			","
					United Kingdom
		
			","		Sid & Nancy	","				Alex Cox			"
"21","				1988			","
					United States
		
			","		Dead Ringers	","				David Cronenberg			"
"22","				1955			","
					United States
		
			","		Summertime	","				David Lean			"
"23","				1987			","
					United States
		
			","		RoboCop	","				Paul Verhoeven			"
"24","				1963			","
					Japan
		
			","		High and Low	","				Akira Kurosawa			"
"25","				1965			","
					France
		
			","		Alphaville	","				Jean-Luc Godard			"
"26","				1980			","
					United Kingdom
		
			","		The Long Good Friday	","				John Mackenzie			"
"27","				1973			","
					United States
		
			","		Flesh for Frankenstein	","				Paul Morrissey			"
"28","				1974			","
					United States
		
			","		Blood for Dracula	","				Paul Morrissey			"
"29","				1975			","
					Australia
		
			","		Picnic at Hanging Rock	","				Peter Weir			"
"30","				1931			","
					Germany
		
			","		M	","				Fritz Lang			"
"31","				1946			","
					United Kingdom
		
			","		Great Expectations	","				David Lean			"
"32","				1948			","
					United Kingdom
		
			","		Oliver Twist	","				David Lean			"
"33","				1922			","
					United States
		
			","		Nanook of the North	","				Robert Flaherty			"
"34","				1966			","
					Soviet Union
		
			","		Andrei Rublev	","				Andrei Tarkovsky			"
"35","				1955			","
					France
		
			","		Diabolique	","				Henri-Georges Clouzot			"
"36","				1953			","
					France
		
			","		The Wages of Fear	","				Henri-Georges Clouzot			"
"37","				1981			","
					United Kingdom
		
			","		Time Bandits	","				Terry Gilliam			"
"38","				1967			","
					Japan
		
			","		Branded to Kill	","				Seijun Suzuki			"
"39","				1966			","
					Japan
		
			","		Tokyo Drifter	","				Seijun Suzuki			"
"40","				1998			","
					United States
		
			","		Armageddon	","				Michael Bay			"
"41","				1944			","
					United Kingdom
		
			","		Henry V	","				Laurence Olivier			"
"42","				1992			","
					United States
		
			","		Fishing with John	","				John Lurie			"
"43","				1963			","
					United Kingdom
		
			","		Lord of the Flies	","				Peter Brook			"
"44","				1948			","
					United Kingdom
		
			","		The Red Shoes	","				Michael Powell and Emeric Pressburger			"
"45","				1997			","
					Iran
		
			","		Taste of Cherry	","				Abbas Kiarostami			"
"46","				1932			","
					United States
		
			","		The Most Dangerous Game	","				Ernest B. Schoedsack…			"
"47","				1997			","
					Norway
		
			","		Insomnia	","				Erik Skjoldbjærg			"
"48","				1959			","
					France
		
			","		Black Orpheus	","				Marcel Camus			"
"49","				1957			","
					Italy
		
			","		Nights of Cabiria	","				Federico Fellini			"
"50","				1983			","
					Italy
		
			","		And the Ship Sails On	","				Federico Fellini			"
"51","				1985			","
					United Kingdom
		
			","		Brazil	","				Terry Gilliam			"
"52","				1961			","
					Japan
		
			","		Yojimbo	","				Akira Kurosawa			"
"53","				1962			","
					Japan
		
			","		Sanjuro	","				Akira Kurosawa			"
"54","				1989			","
					United States
		
			","		For All Mankind	","				Al Reinert			"
"55","				1988			","
					United States
		
			","		The Unbearable Lightness of Being	","				Philip Kaufman			"
"56","				1935			","
					United Kingdom
		
			","		The 39 Steps	","				Alfred Hitchcock			"
"57","				1963			","
					United States
		
			","		Charade	","				Stanley Donen			"
"58","				1960			","
					United Kingdom
		
			","		Peeping Tom	","				Michael Powell			"
"59","				1974			","
					Italy
		
			","		The Night Porter	","				Liliana Cavani			"
"60","				1978			","
					Sweden
		
			","		Autumn Sonata	","				Ingmar Bergman			"
"61","				1979			","
					United Kingdom
		
			","		Monty Python’s Life of Brian	","				Terry Jones			"
"62","				1928			","
					France
		
			","		The Passion of Joan of Arc	","				Carl Th. Dreyer			"
"63","				1962			","
					United States
		
			","		Carnival of Souls	","				Herk Harvey			"
"64","				1949			","
					United Kingdom
		
			","		The Third Man	","				Carol Reed			"
"65","				1998			","
					United States
		
			","		Rushmore	","				Wes Anderson			"
"66","				 			","
			","		The Orphic Trilogy	","				 			"
"67","				1930			","
					France
		
			","		The Blood of a Poet	","				Jean Cocteau			"
"68","				1950			","
					France
		
			","		Orpheus	","				Jean Cocteau			"
"69","				1959			","
					France
		
			","		Testament of Orpheus	","				Jean Cocteau			"
"70","				1988			","
					United States
		
			","		The Last Temptation of Christ	","				Martin Scorsese			"
"71","				1975			","
					Sweden
		
			","		The Magic Flute	","				Ingmar Bergman			"
"72","				1931			","
					France
		
			","		Le million	","				René Clair			"
"73","				1962			","
					France
		
			","		Cléo from 5 to 7	","				Agnès Varda			"
"74","				1985			","
					France
		
			","		Vagabond	","				Agnès Varda			"
"75","				1997			","
					United States
		
			","		Chasing Amy	","				Kevin Smith			"
"76","				1945			","
					United Kingdom
		
			","		Brief Encounter	","				David Lean			"
"77","				1956			","
					France
		
			","		And God Created Woman	","				Roger Vadim			"
"78","				1940			","
					United States
		
			","		The Bank Dick	","				Edward Cline			"
"79","				1933			","
					United States
		
			","		W. C. Fields—Six Short Films	","				Monte Brice, Clyde Bruckman, Edwin Middleton, Leslie Pearce, and Arthur Ripley			"
"80","				1984			","
					Denmark
		
			","		The Element of Crime	","				Lars von Trier			"
"81","				1950			","
					Italy
		
			","		Variety Lights	","				Federico Fellini…			"
"82","				1948			","
					United Kingdom
		
			","		Hamlet	","				Laurence Olivier			"
"83","				1972			","
					United States
		
			","		The Harder They Come	","				Perry Henzell			"
"84","				1959			","
					Japan
		
			","		Good Morning	","				Yasujiro Ozu			"
"85","				1938			","
					United Kingdom
		
			","		Pygmalion	","				Anthony Asquith and Leslie Howard			"
"86","				 			","
			","		Eisenstein: The Sound Years	","				 			"
"87","				1938			","
					Soviet Union
		
			","		Alexander Nevsky	","				Sergei Eisenstein			"
"88","				1944			","
					Soviet Union
		
			","		Ivan the Terrible, Part I	","				Sergei Eisenstein			"
"88","				1958			","
					Soviet Union
		
			","		Ivan the Terrible, Part II	","				Sergei Eisenstein			"
"89","				1973			","
					United States
		
			","		Sisters	","				Brian  De Palma			"
"90","				1965			","
					Japan
		
			","		Kwaidan	","				Masaki Kobayashi			"
"91","				1958			","
					United States
		
			","		The Blob	","				Irvin S. Yeaworth Jr.			"
"92","				1958			","
					United Kingdom
		
			","		Fiend Without a Face	","				Arthur Crabtree			"
"93","				1947			","
					United Kingdom
		
			","		Black Narcissus	","				Michael Powell and Emeric Pressburger			"
"94","				1945			","
					United Kingdom
		
			","		I Know Where I’m Going!	","				Michael Powell and Emeric Pressburger			"
"95","				1955			","
					United States
		
			","		All That Heaven Allows	","				Douglas Sirk			"
"96","				1956			","
					United States
		
			","		Written on the Wind	","				Douglas Sirk			"
"97","				1989			","
					United States
		
			","		Do the Right Thing	","				Spike Lee			"
"98","				1960			","
					Italy
		
			","		L’avventura	","				Michelangelo Antonioni			"
"99","				1970			","
					United States
		
			","		Gimme Shelter	","				David Maysles, Albert Maysles, and Charlotte Zwerin			"
